android.widget.TextView     |||     92*110     |||     [[441, 195], [533, 305]]     |||     电影
android.widget.TextView     |||     89*51     |||     [[1510, 139], [1599, 190]]     |||     电影

android.widget.TextView     |||     92*110     |||     [[33, 195], [125, 305]]     |||     精选
android.widget.TextView     |||     89*51     |||     [[652, 139], [741, 190]]     |||     精选

android.widget.TextView     |||     56*50     |||     [[944, 2064], [1000, 2114]]     |||     我的
android.widget.TextView     |||     89*51     |||     [[195, 139], [284, 190]]     |||     我的

android.widget.TextView     |||     92*110     |||     [[577, 195], [669, 305]]     |||     综艺
android.widget.TextView     |||     89*51     |||     [[1657, 139], [1746, 190]]     |||     综艺

android.widget.TextView     |||     737*88     |||     [[33, 96], [770, 184]]     |||     电视剧
android.widget.TextView     |||     124*51     |||     [[1328, 139], [1452, 190]]     |||     电视剧

android.widget.TextView     |||     92*110     |||     [[441, 195], [533, 305]]     |||     电影
android.widget.TextView     |||     89*51     |||     [[1510, 139], [1599, 190]]     |||     电影

android.widget.TextView     |||     92*110     |||     [[33, 195], [125, 305]]     |||     精选
android.widget.TextView     |||     89*51     |||     [[652, 139], [741, 190]]     |||     精选

android.widget.TextView     |||     92*110     |||     [[577, 195], [669, 305]]     |||     综艺
android.widget.TextView     |||     89*51     |||     [[796, 139], [885, 190]]     |||     综艺

android.widget.TextView     |||     737*88     |||     [[33, 96], [770, 184]]     |||     电视剧
android.widget.TextView     |||     124*51     |||     [[467, 139], [591, 190]]     |||     电视剧

android.widget.TextView     |||     92*110     |||     [[849, 195], [941, 305]]     |||     动漫
android.widget.TextView     |||     89*51     |||     [[1918, 139], [2007, 190]]     |||     动漫

android.widget.TextView     |||     92*110     |||     [[441, 195], [533, 305]]     |||     电影
android.widget.TextView     |||     89*51     |||     [[649, 139], [738, 190]]     |||     电影

android.widget.TextView     |||     152*51     |||     [[464, 1753], [616, 1804]]     |||     快看漫画
android.widget.TextView     |||     804*74     |||     [[138, 903], [942, 977]]     |||     快看漫画

android.widget.TextView     |||     152*51     |||     [[464, 1753], [616, 1804]]     |||     快看漫画
android.widget.TextView     |||     144*49     |||     [[163, 776], [307, 825]]     |||     快看漫画

android.widget.TextView     |||     118*116     |||     [[556, 1139], [674, 1255]]     |||     总裁
android.widget.TextView     |||     110*74     |||     [[154, 198], [264, 272]]     |||     总裁

android.widget.TextView     |||     118*116     |||     [[556, 1139], [674, 1255]]     |||     总裁
android.widget.TextView     |||     110*74     |||     [[154, 198], [264, 272]]     |||     总裁

android.widget.TextView     |||     144*48     |||     [[84, 618], [228, 666]]     |||     浏览历史
android.widget.TextView     |||     772*165     |||     [[154, 74], [926, 239]]     |||     浏览历史

android.widget.TextView     |||     -6195*70     |||     [[7275, 1618], [1080, 1688]]     |||     快看漫画
android.widget.TextView     |||     152*51     |||     [[464, 1753], [616, 1804]]     |||     快看漫画

android.widget.TextView     |||     -6195*70     |||     [[7275, 1618], [1080, 1688]]     |||     快看漫画
android.widget.TextView     |||     804*74     |||     [[138, 903], [942, 977]]     |||     快看漫画

android.widget.TextView     |||     254*-5     |||     [[286, 1943], [540, 1938]]     |||     短信
android.widget.TextView     |||     72*49     |||     [[679, 776], [751, 825]]     |||     短信

android.widget.TextView     |||     -6195*70     |||     [[7275, 1618], [1080, 1688]]     |||     快看漫画
android.widget.TextView     |||     144*49     |||     [[163, 776], [307, 825]]     |||     快看漫画

android.widget.TextView     |||     82*55     |||     [[459, 243], [541, 298]]     |||     会员
android.widget.TextView     |||     78*56     |||     [[672, 1045], [750, 1101]]     |||     会员

android.widget.TextView     |||     508*66     |||     [[547, 1334], [1055, 1400]]     |||     法医秦明第一季
android.widget.TextView     |||     -186*44     |||     [[1266, 896], [1080, 940]]     |||     法医秦明第一季

android.widget.TextView     |||     82*55     |||     [[732, 243], [814, 298]]     |||     电影
android.widget.TextView     |||     -1032*56     |||     [[1782, 1045], [750, 1101]]     |||     电影

android.widget.TextView     |||     112*47     |||     [[404, 1835], [516, 1882]]     |||     电视剧
android.widget.TextView     |||     -334*56     |||     [[1084, 1045], [750, 1101]]     |||     电视剧

android.widget.TextView     |||     82*55     |||     [[343, 243], [425, 298]]     |||     推荐
android.widget.TextView     |||     84*56     |||     [[508, 1045], [592, 1101]]     |||     推荐

android.widget.TextView     |||     112*47     |||     [[926, 1025], [1038, 1072]]     |||     电视剧
android.widget.TextView     |||     -334*56     |||     [[1084, 1045], [750, 1101]]     |||     电视剧

android.widget.TextView     |||     112*47     |||     [[404, 1025], [516, 1072]]     |||     电视剧
android.widget.TextView     |||     -334*56     |||     [[1084, 1045], [750, 1101]]     |||     电视剧

android.widget.TextView     |||     508*96     |||     [[547, 1216], [1055, 1312]]     |||     20集全
android.widget.TextView     |||     -2018*40     |||     [[3098, 468], [1080, 508]]     |||     20集全

android.widget.TextView     |||     508*96     |||     [[547, 1216], [1055, 1312]]     |||     20集全
android.widget.TextView     |||     -533*40     |||     [[1613, 848], [1080, 888]]     |||     20集全

android.widget.TextView     |||     16*55     |||     [[964, 243], [980, 298]]     |||     动漫
android.widget.TextView     |||     -704*56     |||     [[1454, 1045], [750, 1101]]     |||     动漫

android.widget.TextView     |||     16*55     |||     [[964, 243], [980, 298]]     |||     动漫
android.widget.TextView     |||     -10151*70     |||     [[11231, 534], [1080, 604]]     |||     动漫

android.widget.TextView     |||     88*58     |||     [[776, 2024], [864, 2082]]     |||     我的
android.widget.TextView     |||     -1524*56     |||     [[2274, 1045], [750, 1101]]     |||     我的

android.widget.TextView     |||     -388*137     |||     [[1468, 1491], [1080, 1628]]     |||     游戏
android.widget.TextView     |||     -1196*56     |||     [[1946, 1045], [750, 1101]]     |||     游戏

android.widget.TextView     |||     508*66     |||     [[25, 1334], [533, 1400]]     |||     无心法师第一季
android.widget.TextView     |||     -1671*44     |||     [[2751, 516], [1080, 560]]     |||     无心法师第一季

android.widget.TextView     |||     123*55     |||     [[575, 243], [698, 298]]     |||     电视剧
android.widget.TextView     |||     -334*56     |||     [[1084, 1045], [750, 1101]]     |||     电视剧

android.widget.TextView     |||     112*47     |||     [[926, 1835], [1038, 1882]]     |||     电视剧
android.widget.TextView     |||     -334*56     |||     [[1084, 1045], [750, 1101]]     |||     电视剧

android.widget.TextView     |||     110*73     |||     [[199, 234], [309, 307]]     |||     首页
android.widget.TextView     |||     84*56     |||     [[344, 1045], [428, 1101]]     |||     首页

android.widget.TextView     |||     112*47     |||     [[926, 1430], [1038, 1477]]     |||     电视剧
android.widget.TextView     |||     -334*56     |||     [[1084, 1045], [750, 1101]]     |||     电视剧

android.widget.TextView     |||     508*96     |||     [[25, 1216], [533, 1312]]     |||     20集全
android.widget.TextView     |||     -2018*40     |||     [[3098, 468], [1080, 508]]     |||     20集全

android.widget.TextView     |||     508*96     |||     [[25, 1216], [533, 1312]]     |||     20集全
android.widget.TextView     |||     -533*40     |||     [[1613, 848], [1080, 888]]     |||     20集全

android.widget.TextView     |||     112*47     |||     [[404, 1430], [516, 1477]]     |||     电视剧
android.widget.TextView     |||     -334*56     |||     [[1084, 1045], [750, 1101]]     |||     电视剧

android.widget.TextView     |||     82*55     |||     [[848, 243], [930, 298]]     |||     综艺
android.widget.TextView     |||     -868*56     |||     [[1618, 1045], [750, 1101]]     |||     综艺

